,product_id,product_name,aisle_id,department_id,suggested_prods,suggested_aisle_ids,suggested_pro_ids,suggested_dept_id
0,1,Chocolate Sandwich Cookies,61,19,"Oreo Cookies and Cream Chocolate Frozen Dairy Dessert,Vanilla Sugar Cookies,Gluten Free All Natural Chocolate Chip Cookies,Cookie Chips Crunchy Dark Chocolate Chocolate Chip Cookies","37,61,61,61","591,576,172,559","1,19,19,19"
1,2,All-Seasons Salt,104,13,"Thin Stackers Brown Rice  Salt Free,Sardines in Water Salt Added,Salt Free Seasoning,Nature's Seasons Seasoning Blend","107,33,104,104","273,425,463,240","19,6,13,13"
2,3,Robust Golden Unsweetened Oolong Tea,94,7,"Almond Breeze Unsweetened Almond Coconut Milk Blend,Unsweetened Original Organic Soy Non-Dairy Beverage,Tea Temples Green Tea With Mint,Golden Cupcakes 8 Pack","91,91,94,61","738,862,560,569","16,16,7,19"
3,4,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,38,1,"Classic coke,Ice Cream, Cookies & Cream,Mini Double Chocolate Ice Cream Bars,Organic 100% Whole Wheat Rigatoni","77,37,37,131","649,431,997,774","7,1,1,9"
4,5,Green Chile Anytime Sauce,5,13,"Petite Green Peas,Caramel Sauce,Apple Green Cups,Chile Con Queso Potato Crisps","116,103,111,107","969,275,846,851","1,19,17,19"
5,6,Dry Nose Oil,11,11,"Dry Pasta Lasagne,Dry Roasted Pistachios,Super Dry Beer,Argan Oil of Morocco Renewing Weightless Healing Dry Oil Hair Oil","131,117,27,22","913,304,379,214","9,19,5,11"
6,7,Pure Coconut Water With Orange,98,7,"Pompelmo Water,Coconut Drink, Vanilla,Organic Apple Spinach Kale Coconut Water Superjuice,Coconut Yogurt","100,91,98,120","491,670,299,920","21,16,7,16"
7,8,Cut Russet Potatoes Steam N' Mash,116,1,"Zita Cut, No. 118,Instant Mashed Potatoes,Gold Potatoes,Fresh Cut Specialties Cut Golden Wax Beans","131,4,83,81","139,278,306,799","9,9,4,15"
8,9,Light Strawberry Blueberry Yogurt,120,16,"Creamline Yogurt Wild Blueberry,Organic Blueberry Pomegranate Whole Milk Yogurt,Light & Fit Strawberry Cheesecake Greek Nonfat Yogurt,Yogurt Strawberry Pomegranate","120,120,120,120","339,584,419,132","16,16,16,16"
9,10,Sparkling Orange Juice & Prickly Pear Beverage,115,7,"Sparkling Blush Grape Juice,Organic Orange Turmeric Juice,Sparkling Raspberry Lemonade Water Beverage,Apple Sparkling Juice Beverage","77,31,115,98","167,488,334,618","7,7,7,7"
10,11,Peach Mango Juice,31,7,"Premium Apple Juice,Soft Eating Mango Flavor Liquorice,Peach Aloe Vera Drink,Organic Mango Peach Carrot Kickstart Smoothie","98,45,98,116","935,709,677,552","7,19,7,1"
11,12,Chocolate Fudge Layer Cake,119,1,"No Sugar Added The Original Fudge Pops,6\"" Organic Carrot Cake,Flourless Chocolate Truffle Cake,Pound Cake Cake Mix","37,8,8,105","758,218,824,362","1,3,3,13"
12,13,Saline Nasal Mist,11,11,"Cheese Creations Four Cheese Cheese Sauce,Complete Health Deboned Chicken, Chicken Meal and Rice Cat Food,Organic Whole Grassmilk Milk,Apricots","9,41,84,18","3,413,423,291,000","9,8,16,10"
13,14,Fresh Scent Dishwasher Cleaner,74,17,"Automatic Toilet Bowl Cleaner Bleach & Blue Rain Clean Scent Pack,with Dawn Action Pacs Fresh Scent Dishwasher Detergent Pacs,Lemon Fresh Multi Surface Cleaner,Fresh Scent Dishwasher Detergent with Dawn","114,74,114,74","865,541,732,186","17,17,17,17"
14,15,Overnight Diapers Size 6,56,18,"Snack Size Candy,Swaddlers Diapers Jumbo Pack Size Newborn,Cruisers Diapers Jumbo Pack - Size 5,Baby Dry Diapers Size 4","45,56,56,56","630,765,682,879","19,18,18,18"
15,16,Mint Chocolate Flavored Syrup,103,19,"Mint Dental Floss,Orange Flavored Sports Drink,Slow Churned Mint Chocolate Chip Ice Cream,Chocolate Mint Cookie Crunch Nutrition Bar","20,64,37,3","291,815,480,205","11,7,1,19"
16,17,Rendered Duck Fat,35,12,"98% Fat Free Cream Of Chicken Soup,Non-Fat Blueberry on the Bottom Greek Yogurt,Traditional No Fat Refried Beans,Plain Fat Free Yogurt","69,120,59,120","621,264,703,953","15,16,15,16"
17,18,Pizza for One Suprema  Frozen Pizza,79,1,"Brooklyn Pizza Dough,Pepperoni Party Pizza,Ristorante Pizza Spinaci Thin Crust Pizza,Four Cheese Pizza Frozen Sandwiches","79,79,79,129","322,743,356,735","1,1,1,1"
18,19,Gluten Free Quinoa Three Cheese & Mushroom Blend,63,9,"Gluten Free Chicken Rustica Pizza,Gluten Free Blueberry Muffin Mix,Gluten Free Sugar Cookie Mix,Gluten Free Sugar Cones","79,105,105,103","414,235,847,903","1,13,13,19"
19,20,Pomegranate Cranberry & Aloe Vera Enrich Drink,98,7,"Strawberry Pomegranate,Pomegranate Coconut Sparkling Probiotic Drink, Organic,Cucumber Witch Hazel With Aloe Vera,Peach Aloe Vera Drink","3,31,109,98","983,858,984,677","19,7,11,7"
20,21,Small & Medium Dental Dog Treats,40,8,"Adult Dog Formula Dog Food,Snack Sticks Chicken & Rice Recipe Dog Treats,Gourmet Dog Treats Bone,Chicken Meatballs Dog Treats","40,40,40,40","531,722,302,236","8,8,8,8"
21,22,Fresh Breath Oral Rinse Mild Mint,20,11,"Mild El Nino Salsa,Fresh Oj,Organic Shredded Mild Cheddar,Mild Salsa Divino","67,98,21,51","188,628,781,107","20,7,16,13"
22,23,Organic Turkey Burgers,49,12,"Ground Turkey Chub,Turkey Chili,Original Turkey,Turkey","34,1,96,96","118,554,176,287","1,20,20,20"
23,24,Tri-Vi-Sol® Vitamins A-C-and D Supplement Drops for Infants,47,11,"Pain Reliever and Fever Reducer Cherry Infant Drops,Calcium Adult Gummy Vitamins, Orange Cherry & Strawberry,Propolis Herbal Supplement,Tri Color Tortilla Strips","11,47,47,89","759,159,272,539","11,11,11,13"
24,25,Salted Caramel Lean Protein & Fiber Bar,3,19,"Vanilla Almond Protein Bar,Frozen Desserts, Fit, Salted Caramel,Salted Caramel Ice Cream,Chocolate Caramel Whey Protein Bar","3,37,37,3","406,502,606,370","19,1,1,19"
25,26,Fancy Feast Trout Feast Flaked Wet Cat Food,41,8,"Chicken & Brown Rice Formula Cat Food,Sliced Chicken Entree Cat Food,Cat Food, Premium, Adult Cat Formula,Organic Four Bean Feast Baby Food","41,41,41,92","597,442,848,744","8,8,8,18"
26,27,Complete Spring Water Foaming Antibacterial Hand Wash,127,11,"European Style Spring Mix,Ultra Concentrated Antibacterial Hand Soap Lemon Scent Dishwashing Liquid,Antibacterial, Pomegranate & Tangerine Hand Soap with Moisturizer,Foaming Hand Soap Kid Watermelon","123,74,127,114","66,662,689,224","4,17,11,17"
27,28,Wheat Chex Cereal,121,14,"Smorz Cereal,Peanut Butter Cereal,Whole Wheat Tortillas,Cheddar Chex Mix","121,121,128,125","90,34,58,955","14,14,3,19"
28,29,Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn,81,15,"Organic Blue Corn Sea Salt Tortilla Chips,Wild Albacore Tuna No Salt Added,Sardines in Water Salt Added,Fresh Cut Specialties Cut Golden Wax Beans","107,95,33,81","212,79,425,799","19,15,6,15"
29,30,"Three Cheese Ziti, Marinara with Meatballs",38,1,"Organic Spicy Heirloom Marinara Sauce,Cheese Creations Four Cheese Cheese Sauce,Wild Sardines in Marinara Sauce,Chicken Meatballs Dog Treats","9,9,95,40","284,341,187,236","9,9,15,8"
30,31,White Pearl Onions,123,4,"Crispy Thin Crust White Pizza,White Writing Gel,White Chicken Chili,Pearl Active Duopack Tampons","79,97,59,126","926,357,448,897","1,13,15,11"
31,32,Nacho Cheese White Bean Chips,107,19,"Bean Threads,Simply Beyond Black Bean Tortilla Chips,Rice & Bean Snack Chips With Adzuki Beans Chipotle Cheese,Nacho Grain-Free Tortilla Chips","66,107,107,100","741,180,543,768","6,19,19,21"
32,33,Organic Spaghetti Style Pasta,131,9,"Linguine Pasta,Thick & Zesty Spaghetti Sauce Mix,Organic Roasted Garlic Pasta Sauce,Multigrain Spaghetti Style Pasta","131,104,9,131","424,600,244,375","9,13,9,9"
33,34,Peanut Butter Cereal,121,14,"Peanut Butter & Strawberry Jam Sandwich,Peanut Butter Chocolate Chip Bar,Peanut Butter Bars,Multigrain Peanut Butter Cereal","38,3,3,121","100,883,985,637","1,19,19,14"
34,35,Italian Herb Porcini Mushrooms Chicken Sausage,106,12,"Sausage Gravy & Biscuit,Italian Pasta Salad,Organic Porcini Mushroom Risotto,Thick Cut Italian 7-Herb Blend Crispbreads","52,1,4,78","688,209,685,841","1,20,9,19"
35,36,Traditional Lasagna with Meat Sauce Savory Italian Recipes,38,1,"Graduates Lil' Meals Spaghetti Rings In Meat Sauce,Traditional Water Crackers,Vegetarian Grain Meat Sausages Italian - 4 CT,Traditional Tartar Sauce","92,78,14,100","873,145,49,562","18,19,20,21"
36,37,Noodle Soup Mix With Chicken Broth,69,15,"Traditional Chicken Tuscany Soup,Habanero Lime Shrimp Flavor Ramen Noodle Soup,3rd Foods Chicken Noodle Dinner,Chunky Classic Chicken Noodle Soup","69,4,92,69","718,173,817,928","15,9,18,15"
37,38,Ultra Antibacterial Dish Liquid,100,21,"Automatic Dish Packs, Lemon Verbena Scent,Ultra-Filtered Whole Milk,Ultra Thin Pastrami,Ultra Concentrated Antibacterial Hand Soap Lemon Scent Dishwashing Liquid","75,84,96,74","667,877,403,662","17,16,20,17"
38,39,Daily Tangerine Citrus Flavored Beverage,64,7,"Kind Prenatal Once Daily,Mint Chocolate Flavored Syrup,Apple Sparkling Juice Beverage,Daily Moisture Shampoo","47,103,98,22","91,16,618,498","11,19,7,11"
39,40,Beef Hot Links Beef Smoked Sausage With Chile Peppers,106,12,"Old Fashioned Vegetable Beef Soup,Uncured Cracked Pepper Beef,Sausage Smoked Sweet German Brand,Unsalted Beef Broth","69,23,106,69","466,93,995,963","15,19,12,15"
40,41,Organic Sourdough Einkorn Crackers Rosemary,78,19,"Supreme Pretzel Crackers,Foldit Flatbreads Artisan Rosemary & Olive Oil,Water Crackers Original All Natural,Traditional Water Crackers","107,128,78,78","615,660,363,145","19,3,19,19"
41,42,Biotin 1000 mcg,47,11,"Biotin 10,000mcg Maximum Strength,Restorative Biotin Conditioner,Biotin & Collagen Shampoo,Biotin Super Strength 7500 mcg Tablets","47,22,22,47","301,730,523,656","11,11,11,11"
42,43,Organic Clementines,123,4,"Organic Lemons,Organic Red Wine & Olive Oil Dressing Organic,Organic Mozzarella,Organic Roasted Garlic Vinaigrette Dressing Organic","24,89,21,89","143,65,617,962","4,13,16,13"
43,44,Sparkling Raspberry Seltzer,115,7,"Raspberry Fig Bars,Sparkling Blueberry,Sparkling Raspberry Lemonade Water Beverage,Sparkling Lemon Seltzer Water","3,77,115,115","332,456,334,608","19,7,7,7"
44,45,European Cucumber,83,4,"Glycerine Soap, Pure and Natural, Cucumber,3 in 1 Soap for Every Man, Cucumber & Lemon,Tzatziki Cucumber Sauce,European Style Spring Mix","25,25,67,123","320,152,198,66","11,11,20,4"
45,46,Raisin Cinnamon Bagels 5 count,58,1,"Cinnamon Pop'ettes,Poppy Seed Bagels,Ceylon Cinnamon,Sliced Onion Bagels","61,93,104,93","733,245,725,836","19,3,13,3"
